Zeit;Kanal A;Kanal B
(ms);(V);(A)

-4,93057595;0,00000000;0,00000000
-4,93046395;0,00000000;-3,93700790
-4,93035195;-1,96850395;0,00000000
-4,93023995;-1,96850395;0,00000000
-4,93012795;0,00000000;0,00000000
-4,93001595;0,00000000;0,00000000
-4,92990395;0,00000000;0,00000000
-4,92979195;-1,96850395;-3,93700790
-4,92967995;0,00000000;-3,93700790
-4,92956795;0,00000000;0,00000000
-4,92945595;0,00000000;0,00000000
-4,92934395;0,00000000;0,00000000
-4,92923195;-1,96850395;0,00000000
-4,92911995;-1,96850395;0,00000000
-4,92900795;0,00000000;0,00000000
-4,92889595;-1,96850395;-3,93700790
-4,92878395;0,00000000;0,00000000
-4,92867195;-1,96850395;0,00000000
-4,92855995;0,00000000;0,00000000
-4,92844795;0,00000000;0,00000000
-4,92833595;0,00000000;0,00000000
-4,92822395;0,00000000;-3,93700790
-4,92811195;0,00000000;0,00000000
-4,92799995;-1,96850395;-3,93700790
-4,92788795;0,00000000;0,00000000
-4,92777595;0,00000000;-3,93700790
-4,92766395;0,00000000;0,00000000
-4,92755195;-1,96850395;0,00000000
-4,92743995;0,00000000;0,00000000
-4,92732795;0,00000000;0,00000000
-4,92721595;0,00000000;0,00000000
-4,92710395;-1,96850395;0,00000000
-4,92699195;0,00000000;0,00000000
-4,92687995;0,00000000;0,00000000
-4,92676795;0,00000000;0,00000000
-4,92665595;0,00000000;0,00000000
-4,92654395;0,00000000;0,00000000
-4,92643195;0,00000000;0,00000000
-4,92631995;0,00000000;-3,93700790
-4,92620795;0,00000000;0,00000000
-4,92609595;0,00000000;0,00000000
-4,92598395;0,00000000;-3,93700790
-4,92587195;0,00000000;0,00000000
-4,92575995;0,00000000;-3,93700790
-4,92564795;0,00000000;0,00000000
-4,92553595;0,00000000;-3,93700790
-4,92542395;0,00000000;0,00000000
-4,92531195;-1,96850395;0,00000000
-4,92519995;0,00000000;0,00000000
-4,92508795;-1,96850395;0,00000000
-4,92497595;0,00000000;0,00000000
-4,92486395;0,00000000;0,00000000
-4,92475195;0,00000000;0,00000000
-4,92463995;0,00000000;0,00000000
-4,92452795;-1,96850395;0,00000000
-4,92441595;0,00000000;0,00000000
-4,92430395;0,00000000;0,00000000
-4,92419195;-1,96850395;0,00000000
-4,92407995;0,00000000;0,00000000
-4,92396795;-1,96850395;-3,93700790
-4,92385595;0,00000000;0,00000000
-4,92374395;0,00000000;0,00000000
-4,92363195;0,00000000;0,00000000
-4,92351995;0,00000000;0,00000000
-4,92340795;0,00000000;0,00000000
-4,92329595;0,00000000;-3,93700790
-4,92318395;0,00000000;0,00000000
-4,92307195;0,00000000;0,00000000
-4,92295995;0,00000000;0,00000000
-4,92284795;0,00000000;0,00000000
-4,92273595;0,00000000;0,00000000
-4,92262395;0,00000000;0,00000000
-4,92251195;0,00000000;-3,93700790
-4,92239995;-1,96850395;-3,93700790
-4,92228795;0,00000000;0,00000000
-4,92217595;0,00000000;-3,93700790
-4,92206395;0,00000000;0,00000000
-4,92195195;-1,96850395;0,00000000
-4,92183995;0,00000000;0,00000000
-4,92172795;0,00000000;0,00000000
-4,92161595;0,00000000;0,00000000
-4,92150395;0,00000000;0,00000000
-4,92139195;0,00000000;0,00000000
-4,92127995;0,00000000;0,00000000
-4,92116795;0,00000000;0,00000000
-4,92105595;0,00000000;0,00000000
-4,92094395;0,00000000;0,00000000
-4,92083195;0,00000000;-3,93700790
