Zeit;Kanal A
(ms);(V)

-0,97580796;0,00000000
-0,97577596;-0,07874016
-0,97574396;-0,07874016
-0,97571196;0,00000000
-0,97567996;-0,07874016
-0,97564796;0,00000000
-0,97561596;-0,07874016
-0,97558396;-0,07874016
-0,97555196;-0,07874016
-0,97551996;-0,07874016
-0,97548796;-0,07874016
-0,97545596;0,00000000
-0,97542396;-0,07874016
-0,97539196;0,00000000
-0,97535996;0,00000000
-0,97532796;0,00000000
-0,97529596;0,00000000
-0,97526396;0,00000000
-0,97523196;-0,07874016
-0,97519996;-0,07874016
-0,97516796;0,00000000
-0,97513596;0,00000000
-0,97510396;-0,07874016
-0,97507196;-0,07874016
-0,97503996;-0,07874016
-0,97500796;0,00000000
-0,97497596;-0,07874016
-0,97494396;0,00000000
-0,97491196;0,00000000
-0,97487996;-0,07874016
-0,97484796;-0,07874016
-0,97481596;-0,15748031
-0,97478396;-0,07874016
-0,97475196;-0,07874016
-0,97471996;0,00000000
-0,97468796;-0,07874016
-0,97465596;0,00000000
-0,97462396;-0,07874016
-0,97459196;-0,07874016
-0,97455996;0,00000000
-0,97452796;0,00000000
-0,97449596;-0,07874016
-0,97446396;0,00000000
-0,97443196;-0,07874016
-0,97439996;-0,07874016
-0,97436796;-0,07874016
-0,97433596;0,00000000
-0,97430396;-0,07874016
-0,97427196;-0,07874016
-0,97423996;0,00000000
-0,97420796;0,00000000
-0,97417596;-0,07874016
-0,97414396;0,00000000
-0,97411196;-0,07874016
-0,97407996;-0,07874016
-0,97404796;0,00000000
-0,97401596;-0,07874016
-0,97398396;-0,07874016
-0,97395196;-0,07874016
-0,97391996;0,00000000
-0,97388796;0,00000000
-0,97385596;-0,07874016
-0,97382396;-0,07874016
-0,97379196;-0,07874016
-0,97375996;0,00000000
-0,97372796;0,00000000
-0,97369596;-0,07874016
-0,97366396;-0,07874016
-0,97363196;0,00000000
-0,97359996;0,00000000
-0,97356796;-0,07874016
-0,97353596;-0,07874016
-0,97350396;-0,07874016
-0,97347196;-0,07874016
-0,97343996;0,00000000
-0,97340796;-0,07874016
-0,97337596;0,00000000
-0,97334396;-0,07874016
-0,97331196;0,00000000
-0,97327996;-0,07874016
-0,97324796;-0,07874016
-0,97321596;-0,07874016
-0,97318396;-0,07874016
-0,97315196;-0,07874016
-0,97311996;-0,07874016
-0,97308796;0,00000000
-0,97305596;-0,07874016
-0,97302396;0,00000000
-0,97299196;-0,07874016
-0,97295996;0,00000000
-0,97292796;-0,07874016
-0,97289596;-0,07874016
-0,97286396;-0,07874016
-0,97283196;-0,07874016
-0,97279996;0,00000000
-0,97276796;-0,07874016
-0,97273596;-0,07874016
-0,97270396;0,00000000
-0,97267196;-0,07874016
-0,97263996;-0,07874016
-0,97260796;-0,07874016
-0,97257596;-0,07874016
-0,97254396;0,00000000
-0,97251196;-0,07874016
-0,97247996;0,00000000
-0,97244796;0,00000000
-0,97241596;0,00000000
-0,97238396;-0,07874016
-0,97235196;0,00000000
-0,97231996;0,00000000
-0,97228796;0,00000000
-0,97225596;-0,07874016
-0,97222396;0,00000000
-0,97219196;0,00000000
-0,97215996;-0,07874016
-0,97212796;0,00000000
-0,97209596;0,00000000
-0,97206396;-0,07874016
-0,97203196;0,00000000
-0,97199996;-0,07874016
-0,97196796;0,00000000
-0,97193596;-0,07874016
-0,97190396;0,00000000
-0,97187196;0,00000000
-0,97183996;0,00000000
-0,97180796;0,00000000
-0,97177596;0,00000000
-0,97174396;-0,07874016
-0,97171196;-0,07874016
-0,97167996;0,00000000
-0,97164796;-0,07874016
-0,97161596;-0,07874016
-0,97158396;0,00000000
-0,97155196;-0,07874016
-0,97151996;-0,07874016
-0,97148796;0,00000000
-0,97145596;-0,15748031
-0,97142396;-0,07874016
-0,97139196;0,00000000
-0,97135996;-0,07874016
-0,97132796;-0,07874016
-0,97129596;-0,07874016
-0,97126396;0,00000000
-0,97123196;-0,07874016
-0,97119996;0,00000000
-0,97116796;0,00000000
-0,97113596;0,00000000
-0,97110396;-0,07874016
-0,97107196;-0,07874016
-0,97103996;-0,07874016
-0,97100796;-0,07874016
-0,97097596;0,00000000
-0,97094396;0,00000000
-0,97091196;0,00000000
-0,97087996;0,00000000
-0,97084796;0,00000000
-0,97081596;-0,07874016
-0,97078396;0,00000000
-0,97075196;0,00000000
-0,97071996;0,00000000
-0,97068796;-0,07874016
-0,97065596;-0,07874016
-0,97062396;0,00000000
-0,97059196;-0,07874016
-0,97055996;-0,07874016
-0,97052796;0,00000000
-0,97049596;0,00000000
-0,97046396;-0,07874016
-0,97043196;-0,07874016
-0,97039996;-0,07874016
-0,97036796;0,00000000
-0,97033596;-0,07874016
-0,97030396;0,00000000
-0,97027196;-0,07874016
-0,97023996;-0,07874016
-0,97020796;-0,07874016
-0,97017596;0,00000000
-0,97014396;-0,07874016
-0,97011196;-0,07874016
-0,97007996;0,00000000
-0,97004796;0,00000000
-0,97001596;-0,07874016
-0,96998396;0,00000000
-0,96995196;0,00000000
-0,96991996;-0,07874016
-0,96988796;0,00000000
-0,96985596;-0,07874016
-0,96982396;-0,07874016
-0,96979196;0,00000000
-0,96975996;-0,07874016
-0,96972796;0,00000000
-0,96969596;-0,07874016
-0,96966396;0,00000000
-0,96963196;-0,07874016
-0,96959996;-0,07874016
-0,96956796;0,00000000
-0,96953596;-0,07874016
-0,96950396;-0,15748031
-0,96947196;0,00000000
